id,name,description
1,stench,Helps repel wild POKéMON.
2,drizzle,Summons rain in battle.
3,speed-boost,Gradually boosts SPEED.
4,battle-armor,Blocks critical hits.
5,sturdy,Negates 1-hit KO attacks.
6,damp,Prevents self-destruction.
7,limber,Prevents paralysis.
8,sand-veil,Ups evasion in a sandstorm.
9,static,Paralyzes on contact.
10,volt-absorb,Turns electricity into HP.
11,water-absorb,Changes water into HP.
12,oblivious,Prevents attraction.
13,cloud-nine,Negates weather effects.
14,compound-eyes,Raises accuracy.
15,insomnia,Prevents sleep.
16,color-change,Changes type to foe’s move.
17,immunity,Prevents poisoning.
18,flash-fire,Powers up if hit by fire.
19,shield-dust,Prevents added effects.
20,own-tempo,Prevents confusion.
21,suction-cups,Firmly anchors the body.
22,intimidate,Lowers the foe’s ATTACK.
23,shadow-tag,Prevents the foe’s escape.
24,rough-skin,Hurts to touch.
25,wonder-guard,“Super effective” hits.
26,levitate,Not hit by GROUND attacks.
27,effect-spore,Leaves spores on contact.
28,synchronize,Passes on status problems.
29,clear-body,Prevents ability reduction.
30,natural-cure,Heals upon switching out.
31,lightning-rod,Draws electrical moves.
32,serene-grace,Promotes added effects.
33,swift-swim,Raises SPEED in rain.
34,chlorophyll,Boosts the Pokémon’s Speed in sunshine.
35,illuminate,Encounter rate increases.
36,trace,Copies special ability.
37,huge-power,Raises ATTACK.
38,poison-point,Poisons foe on contact.
39,inner-focus,Prevents flinching.
40,magma-armor,Prevents freezing.
41,water-veil,Prevents burns.
42,magnet-pull,Traps STEEL-type POKéMON.
43,soundproof,Avoids sound-based moves.
44,rain-dish,Slight HP recovery in rain.
45,sand-stream,Summons a sandstorm.
46,pressure,Raises foe’s PP usage.
47,thick-fat,Heat-and-cold protection.
48,early-bird,Awakens quickly from sleep.
49,flame-body,Burns the foe on contact.
50,run-away,Enables a sure getaway from wild Pokémon.
51,keen-eye,Prevents loss of accuracy.
52,hyper-cutter,Prevents ATTACK reduction.
53,pickup,May pick up items.
54,truant,Moves only every two turns.
55,hustle,Trades accuracy for power.
56,cute-charm,Infatuates on contact.
57,plus,Powers up with MINUS.
58,minus,Powers up with PLUS.
59,forecast,Changes with the weather.
60,sticky-hold,Prevents item theft.
61,shed-skin,Heals the body by shedding.
62,guts,Ups ATTACK if suffering.
63,marvel-scale,Ups DEFENSE if suffering.
64,liquid-ooze,Draining causes injury.
65,overgrow,Ups GRASS moves in a pinch.
66,blaze,Ups FIRE moves in a pinch.
67,torrent,Ups WATER moves in a pinch.
68,swarm,Ups BUG moves in a pinch.
69,rock-head,Prevents recoil damage.
70,drought,Summons sunlight in battle.
71,arena-trap,Prevents fleeing.
72,vital-spirit,Prevents sleep.
73,white-smoke,Prevents ability reduction.
74,pure-power,Raises ATTACK.
75,shell-armor,Blocks critical hits.
76,air-lock,Negates weather effects.
77,tangled-feet,Raises evasion if the Pokémon is confused.
78,motor-drive,Raises Speed if hit by an Electric-type move.
79,rivalry,Raises Attack if the foe is of the same gender.
80,steadfast,Raises Speed each time the Pokémon flinches.
81,snow-cloak,Raises evasion in a hailstorm.
82,gluttony,Encourages the early use of a held Berry.
83,anger-point,Raises Attack upon taking a critical hit.
84,unburden,Raises Speed if a held item is used.
85,heatproof,Weakens the power of Fire-type moves.
86,simple,The Pokémon is prone to wild stat changes.
87,dry-skin,Reduces HP if it is hot. Water restores HP.
88,download,Adjusts power according to the foe’s ability.
89,iron-fist,Boosts the power of punching moves.
90,poison-heal,Restores HP if the Pokémon is poisoned.
91,adaptability,Powers up moves of the same type.
92,skill-link,Increases the frequency of multi-strike moves.
93,hydration,Heals status problems if it is raining.
94,solar-power,"Boosts Sp. Atk, but lowers HP in sunshine."
95,quick-feet,Boosts Speed if there is a status problem.
96,normalize,All the Pokémon’s moves become the Normal type.
97,sniper,Powers up moves if they become critical hits.
98,magic-guard,The Pokémon only takes damage from attacks.
99,no-guard,Ensures the Pokémon and its foe’s attacks land.
100,stall,The Pokémon moves after even slower foes.
101,technician,Powers up the Pokémon’s weaker moves.
102,leaf-guard,Prevents status problems in sunny weather.
103,klutz,The Pokémon can’t use any held items.
104,mold-breaker,Moves can be used regardless of abilities.
105,super-luck,Heightens the critical-hit ratios of moves.
106,aftermath,Damages the foe landing the finishing hit.
107,anticipation,Senses the foe’s dangerous moves.
108,forewarn,Determines what moves the foe has.
109,unaware,Ignores any change in ability by the foe.
110,tinted-lens,Powers up “not very effective” moves.
111,filter,Powers down super­ effective moves.
112,slow-start,Temporarily halves Attack and Speed.
113,scrappy,Enables moves to hit Ghost-type foes.
114,storm-drain,The Pokémon draws in all Water-type moves.
115,ice-body,The Pokémon regains HP in a hailstorm.
116,solid-rock,Powers down super­ effective moves.
117,snow-warning,The Pokémon summons a hailstorm in battle.
118,honey-gather,The Pokémon may gather Honey from somewhere.
119,frisk,The Pokémon can check the foe’s held item.
120,reckless,Powers up moves that have recoil damage.
121,multitype,Changes type to match the held Plate.
122,flower-gift,Powers up party Pokémon when it is sunny.
123,bad-dreams,Reduces a sleeping foe’s HP.
124,pickpocket,Steals an item when hit by another Pokémon.
125,sheer-force,Removes added effects to increase move damage.
126,contrary,Makes stat changes have an opposite effect.
127,unnerve,Makes the foe nervous and unable to eat Berries.
128,defiant,When its stats are lowered its Attack increases.
129,defeatist,Lowers stats when HP becomes half or less.
130,cursed-body,May disable a move used on the Pokémon.
131,healer,May heal an ally’s status conditions.
132,friend-guard,Reduces damage done to allies.
133,weak-armor,Physical attacks lower Defense and raise Speed.
134,heavy-metal,Doubles the Pokémon’s weight.
135,light-metal,Halves the Pokémon’s weight.
136,multiscale,Reduces damage when HP is full.
137,toxic-boost,Powers up physical attacks when poisoned.
138,flare-boost,Powers up special attacks when burned.
139,harvest,May create another Berry after one is used.
140,telepathy,Anticipates an ally’s attack and dodges it.
141,moody,Raises one stat and lowers another.
142,overcoat,Protects the Pokémon from damage from weather.
143,poison-touch,May poison targets when a Pokémon makes contact.
144,regenerator,Restores a little HP when withdrawn from battle.
145,big-pecks,Protects the Pokémon from Defense-lowering attacks.
146,sand-rush,Boosts the Pokémon’s Speed in a sandstorm.
147,wonder-skin,Makes status-changing moves more likely to miss.
148,analytic,Boosts move power when the Pokémon moves last.
