pokedex_id,name,evolves_from,evolution_trigger,evolution_condition
1,bulbasaur,,,
2,ivysaur,bulbasaur,Level Up,Level 16
3,venusaur,ivysaur,Level Up,Level 32
4,charmander,,,
5,charmeleon,charmander,Level Up,Level 16
6,charizard,charmeleon,Level Up,Level 36
7,squirtle,,,
8,wartortle,squirtle,Level Up,Level 16
9,blastoise,wartortle,Level Up,Level 36
10,caterpie,,,
11,metapod,caterpie,Level Up,Level 7
12,butterfree,metapod,Level Up,Level 10
13,weedle,,,
14,kakuna,weedle,Level Up,Level 7
15,beedrill,kakuna,Level Up,Level 10
16,pidgey,,,
17,pidgeotto,pidgey,Level Up,Level 18
18,pidgeot,pidgeotto,Level Up,Level 36
19,rattata,,,
20,raticate,rattata,Level Up,Level 20
21,spearow,,,
22,fearow,spearow,Level Up,Level 20
23,ekans,,,
24,arbok,ekans,Level Up,Level 22
25,pikachu,pichu,Level Up,Happiness 220
26,raichu,pikachu,Use Item,Thunder Stone
27,sandshrew,,,
28,sandslash,sandshrew,Level Up,Level 22
29,nidoran-f,,,
30,nidorina,nidoran-f,Level Up,Level 16
31,nidoqueen,nidorina,Use Item,Moon Stone
32,nidoran-m,,,
33,nidorino,nidoran-m,Level Up,Level 16
34,nidoking,nidorino,Use Item,Moon Stone
35,clefairy,cleffa,Level Up,Happiness 160
36,clefable,clefairy,Use Item,Moon Stone
37,vulpix,,,
38,ninetales,vulpix,Use Item,Fire Stone
39,jigglypuff,igglybuff,Level Up,Happiness 160
40,wigglytuff,jigglypuff,Use Item,Moon Stone
41,zubat,,,
42,golbat,zubat,Level Up,Level 22
43,oddish,,,
44,gloom,oddish,Level Up,Level 21
45,vileplume,gloom,Use Item,Leaf Stone
46,paras,,,
47,parasect,paras,Level Up,Level 24
48,venonat,,,
49,venomoth,venonat,Level Up,Level 31
50,diglett,,,
51,dugtrio,diglett,Level Up,Level 26
52,meowth,,,
53,persian,meowth,Level Up,Level 28
54,psyduck,,,
55,golduck,psyduck,Level Up,Level 33
56,mankey,,,
57,primeape,mankey,Level Up,Level 28
58,growlithe,,,
59,arcanine,growlithe,Use Item,Fire Stone
60,poliwag,,,
61,poliwhirl,poliwag,Level Up,Level 25
62,poliwrath,poliwhirl,Use Item,Water Stone
63,abra,,,
64,kadabra,abra,Level Up,Level 16
65,alakazam,kadabra,Trade,Trade
66,machop,,,
67,machoke,machop,Level Up,Level 28
68,machamp,machoke,Trade,Trade
69,bellsprout,,,
70,weepinbell,bellsprout,Level Up,Level 21
71,victreebel,weepinbell,Use Item,Leaf Stone
72,tentacool,,,
73,tentacruel,tentacool,Level Up,Level 30
74,geodude,,,
75,graveler,geodude,Level Up,Level 25
76,golem,graveler,Trade,Trade
77,ponyta,,,
78,rapidash,ponyta,Level Up,Level 40
79,slowpoke,,,
80,slowbro,slowpoke,Level Up,Level 37
81,magnemite,,,
82,magneton,magnemite,Level Up,Level 30
83,farfetchd,,,
84,doduo,,,
85,dodrio,doduo,Level Up,Level 31
86,seel,,,
87,dewgong,seel,Level Up,Level 34
88,grimer,,,
89,muk,grimer,Level Up,Level 38
90,shellder,,,
91,cloyster,shellder,Use Item,Water Stone
92,gastly,,,
93,haunter,gastly,Level Up,Level 25
94,gengar,haunter,Trade,Trade
95,onix,,,
96,drowzee,,,
97,hypno,drowzee,Level Up,Level 26
98,krabby,,,
99,kingler,krabby,Level Up,Level 28
100,voltorb,,,
101,electrode,voltorb,Level Up,Level 30
102,exeggcute,,,
103,exeggutor,exeggcute,Use Item,Leaf Stone
104,cubone,,,
105,marowak,cubone,Level Up,Level 28
106,hitmonlee,tyrogue,Level Up,"Level 20, Attack > Defense"
107,hitmonchan,tyrogue,Level Up,"Level 20, Attack < Defense"
108,lickitung,,,
109,koffing,,,
110,weezing,koffing,Level Up,Level 35
111,rhyhorn,,,
112,rhydon,rhyhorn,Level Up,Level 42
113,chansey,happiny,Level Up,"Day, Holding Oval Stone"
114,tangela,,,
115,kangaskhan,,,
116,horsea,,,
117,seadra,horsea,Level Up,Level 32
118,goldeen,,,
119,seaking,goldeen,Level Up,Level 33
120,staryu,,,
121,starmie,staryu,Use Item,Water Stone
122,mr-mime,mime-jr,Level Up,Knows Mimic
123,scyther,,,
124,jynx,smoochum,Level Up,Level 30
125,electabuzz,elekid,Level Up,Level 30
126,magmar,magby,Level Up,Level 30
127,pinsir,,,
128,tauros,,,
129,magikarp,,,
130,gyarados,magikarp,Level Up,Level 20
131,lapras,,,
132,ditto,,,
133,eevee,,,
134,vaporeon,eevee,Use Item,Water Stone
135,jolteon,eevee,Use Item,Thunder Stone
136,flareon,eevee,Use Item,Fire Stone
137,porygon,,,
138,omanyte,,,
139,omastar,omanyte,Level Up,Level 40
140,kabuto,,,
141,kabutops,kabuto,Level Up,Level 40
142,aerodactyl,,,
143,snorlax,munchlax,Level Up,Happiness 160
144,articuno,,,
145,zapdos,,,
146,moltres,,,
147,dratini,,,
148,dragonair,dratini,Level Up,Level 30
149,dragonite,dragonair,Level Up,Level 55
150,mewtwo,,,
151,mew,,,
152,chikorita,,,
153,bayleef,chikorita,Level Up,Level 16
154,meganium,bayleef,Level Up,Level 32
155,cyndaquil,,,
156,quilava,cyndaquil,Level Up,Level 14
157,typhlosion,quilava,Level Up,Level 36
158,totodile,,,
159,croconaw,totodile,Level Up,Level 18
160,feraligatr,croconaw,Level Up,Level 30
161,sentret,,,
162,furret,sentret,Level Up,Level 15
163,hoothoot,,,
164,noctowl,hoothoot,Level Up,Level 20
165,ledyba,,,
